,movie_title,article_link,text
115,Point Blank,http://www.nytimes.com/2019/07/18/movies/review-point-blank.html,testing
116,The Farewell,http://www.nytimes.com/2019/07/11/movies/the-farewell-review.html,testing
117,Darlin,-1,NA
118,The Lion King,http://www.nytimes.com/2019/07/11/movies/the-lion-king-review.html,testing
119,Once Upon a Time in Hollywood,-1,NA
120,Skin,http://www.nytimes.com/2019/12/04/movies/knives-and-skin-review.html,testing
121,The Red Sea Diving Resort,-1,NA
122,Fast & Furious Presents: Hobbs & Shaw,http://www.nytimes.com/2019/08/01/movies/fast-and-furious-presents-hobbs-and-shaw-review.html,testing
123,A Score to Settle,http://www.nytimes.com/2019/08/01/movies/a-score-to-settle-review.html,testing
124,The Operative,-1,NA
125,Dora and the Lost City of Gold,http://www.nytimes.com/2019/08/08/movies/dora-and-the-lost-city-of-gold-review.html,testing
126,The Kitchen,http://www.nytimes.com/2019/08/07/movies/review-the-kitchen.html,testing
127,The Art of Racing in the Rain,http://www.nytimes.com/2019/08/08/movies/the-art-of-racing-in-the-rain-review.html,testing
128,Scary Stories to Tell in the Dark,http://www.nytimes.com/2019/08/08/movies/scary-stories-to-tell-in-the-dark-review.html,testing
129,The Peanut Butter Falcon,http://www.nytimes.com/2019/08/08/movies/the-peanut-butter-falcon-review.html,testing
130,After the Wedding,http://www.nytimes.com/2019/08/08/movies/after-the-wedding-review.html,testing
131,Light of My Life,http://www.nytimes.com/2019/08/08/movies/light-of-my-life-review.html,testing
132,The Angry Birds Movie 2,http://www.nytimes.com/2019/08/13/movies/the-angry-birds-movie-2-review.html,testing
133,Blinded by the Light,http://www.nytimes.com/2019/08/15/movies/blinded-by-the-light-review.html,testing
134,Good Boys,http://www.nytimes.com/2019/08/14/movies/good-boys-review.html,testing
135,Whered You Go,-1,NA
136,47 Meters Down: Uncaged,http://www.nytimes.com/2019/08/15/movies/47-meters-down-uncaged-review.html,testing
137,Gwen,-1,NA
138,Ready or Not,http://www.nytimes.com/2019/08/20/movies/ready-or-not-review.html,testing
139,Angel Has Fallen,http://www.nytimes.com/2019/08/22/movies/angel-has-fallen-review.html,testing
140,Brittany Runs a Marathon,http://www.nytimes.com/2019/08/22/movies/brittany-runs-a-marathon-review.html,testing
141,Overcomer,-1,NA
142,Jacobs Ladder,-1,NA
143,Burn,http://www.nytimes.com/2019/11/28/movies/the-body-remembers-when-the-world-broke-open-review.html,testing
144,Official Secrets,http://www.nytimes.com/2019/08/28/movies/official-secrets-review.html,testing
145,Dont Let Go,-1,NA
146,Itsy Bitsy,-1,NA
147,The Fanatic,http://www.nytimes.com/2019/08/29/movies/the-fanatic-review.html,testing
148,It Chapter Two,http://www.nytimes.com/2019/09/03/movies/it-chapter-two-review.html,testing
149,Satanic Panic,http://www.nytimes.com/2019/09/05/movies/satanic-panic-review.html,testing
150,The Obituary of Tunde Johnson,-1,NA
151,The Goldfinch,http://www.nytimes.com/2019/09/11/movies/the-goldfinch-review.html,testing
152,Hustlers,http://www.nytimes.com/2019/09/11/movies/hustlers-review.html,testing
153,The Sound of Silence,http://www.nytimes.com/2019/09/12/movies/the-sound-of-silence-review.html,testing
154,Monos,http://www.nytimes.com/2019/09/12/movies/monos-review.html,testing
155,Tall Girl,http://www.nytimes.com/2019/09/13/movies/tall-girl-review.html,testing
156,Polaroid,-1,NA
157,Ad Astra,http://www.nytimes.com/2019/09/19/movies/ad-astra-review-brad-pitt.html,testing
158,Downton Abbey,http://www.nytimes.com/2019/09/18/movies/downton-abbey-review.html,testing
159,Rambo: Last Blood,http://www.nytimes.com/2019/09/19/movies/rambo-last-blood-review.html,testing
160,Bloodline,-1,NA
161,Running with the Devil,-1,NA
162,Fractured,-1,NA
163,Abominable,http://www.nytimes.com/2019/09/26/movies/abominable-review.html,testing
164,The Laundromat,http://www.nytimes.com/2019/09/25/movies/the-laundromat-review.html,testing
165,Judy,http://www.nytimes.com/2019/11/07/movies/playing-with-fire-review.html,testing
166,Prey,-1,NA
167,Joker,http://www.nytimes.com/2019/10/03/movies/joker-review.html,testing
168,Lucy in the Sky,http://www.nytimes.com/2019/10/03/movies/lucy-in-the-sky-review.html,testing
169,Dolemite Is My Name,http://www.nytimes.com/2019/10/02/movies/dolemite-is-my-name-review.html,testing
170,In the Tall Grass,http://www.nytimes.com/2019/10/03/movies/in-the-tall-grass-review.html,testing
171,Low Tide,-1,NA
172,Wrinkles the Clown,-1,NA
173,Little Monsters,http://www.nytimes.com/2019/10/10/movies/little-monsters-review.html,testing
174,Gemini Man,http://www.nytimes.com/2019/10/09/movies/gemini-man-review.html,testing
175,The Addams Family,http://www.nytimes.com/2019/10/10/movies/the-addams-family-review.html,testing
176,The King,http://www.nytimes.com/2019/11/06/movies/the-kingmaker-review.html,testing
177,Jexi,http://www.nytimes.com/2019/10/11/movies/jexi-review.html,testing
178,El Camino: A Breaking Bad Movie,-1,NA
179,Maleficent: Mistress of Evil,http://www.nytimes.com/2019/10/17/movies/maleficent-mistress-of-evil-review.html,testing
180,Zombieland: Double Tap,http://www.nytimes.com/2019/10/16/movies/zombieland-double-tap-review.html,testing
181,Jojo Rabbit,http://www.nytimes.com/2019/10/17/movies/jojo-rabbit-review.html,testing
182,The Lighthouse,http://www.nytimes.com/2019/10/16/movies/the-lighthouse-review.html,testing
183,Wounds,http://www.nytimes.com/2019/10/17/movies/wounds-review.html,testing
184,Black and Blue,http://www.nytimes.com/2019/10/24/movies/black-and-blue-review.html,testing
185,The Current War,http://www.nytimes.com/2019/10/24/movies/the-current-war-review.html,testing
186,Countdown,-1,NA
187,The Kill Team,http://www.nytimes.com/2019/10/24/movies/the-kill-team-review.html,testing
188,The Gallows Act II,http://www.nytimes.com/2019/10/24/movies/the-gallows-act-two-review.html,testing
189,Terminator: Dark Fate,http://www.nytimes.com/2019/10/30/movies/terminator-dark-fate-review.html,testing
190,Motherless Brooklyn,http://www.nytimes.com/2019/10/31/movies/motherless-brooklyn-review.html,testing
191,The Irishman,http://www.nytimes.com/2019/09/27/movies/the-irishman-review.html,testing
192,Harriet,http://www.nytimes.com/2019/10/31/movies/harriet-review.html,testing
193,Arctic Dogs,-1,NA
194,Christmas Coupon,-1,NA
195,Marriage Story,http://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,testing
196,Doctor Sleep,http://www.nytimes.com/2019/11/06/movies/doctor-sleep-review.html,testing
197,Last Christmas,http://www.nytimes.com/2019/11/06/movies/last-christmas-review.html,testing
198,Playing with Fire,http://www.nytimes.com/2019/11/07/movies/playing-with-fire-review.html,testing
199,Midway,http://www.nytimes.com/2019/11/06/movies/midway-review.html,testing
200,Klaus,http://www.nytimes.com/2019/11/07/movies/klaus-review.html,testing
201,Honey Boy,http://www.nytimes.com/2019/11/07/movies/honey-boy-review.html,testing
202,Ford v Ferrari,http://www.nytimes.com/2019/11/14/movies/ford-v-ferrari-review.html,testing
203,Charlies Angels,-1,NA
204,The Good Liar,http://www.nytimes.com/2019/11/14/movies/the-good-liar-review.html,testing
205,The Report,http://www.nytimes.com/2019/11/14/movies/the-report-review.html,testing
206,Waves,http://www.nytimes.com/2019/11/14/movies/waves-review.html,testing
207,Frozen II,http://www.nytimes.com/2019/11/21/movies/frozen-2-review.html,testing
208,A Beautiful Day in the Neighborhood,http://www.nytimes.com/2019/11/21/movies/a-beautiful-day-in-the-neighborhood-review.html,testing
209,21 Bridges,http://www.nytimes.com/2019/11/21/movies/21-bridges-review.html,testing
210,Dark Waters,http://www.nytimes.com/2019/11/21/movies/dark-waters-review.html,testing
211,Knives Out,http://www.nytimes.com/2019/11/26/movies/knives-out-review.html,testing
212,Queen & Slim,http://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,testing
